icd_code,icd_code_norm,icd_version,mimic_long_title,official_source,official_code_description,official_default_category,official_default_category_description,all_ccsr_categories,all_ccsr_descriptions,clinical_priority_category,mapping_status,mapping_reason,primary_psychiatric_comorbidity_flag,dementia_flag,substance_flag
T405X1A,T405X1A,10,"Poisoning by cocaine, accidental (unintentional), initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by cocaine, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT020; INJ022; MBD021,"External cause codes: poisoning by drug; External cause codes: intent of injury, accidental/unintentional; Poisoning by drugs, initial encounter; Stimulant-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T405X2A,T405X2A,10,"Poisoning by cocaine, intentional self-harm, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by cocaine, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,EXT014; EXT021; INJ022; MBD012; MBD021,"External cause codes: poisoning by drug; External cause codes: intent of injury, self-harm; Poisoning by drugs, initial encounter; Suicidal ideation/attempt/intentional self-harm; Stimulant-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T405X4A,T405X4A,10,"Poisoning by cocaine, undetermined, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by cocaine, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT023; INJ022; MBD021,"External cause codes: poisoning by drug; External cause codes: intent of injury, undetermined; Poisoning by drugs, initial encounter; Stimulant-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T405X5A,T405X5A,10,"Adverse effect of cocaine, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of cocaine, initial encounter",XXX000,Unacceptable PDX,INJ028; MBD021,"Adverse effects of drugs and medicaments, initial encounter; Stimulant-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40601A,T40601A,10,"Poisoning by unspecified narcotics, accidental (unintentional), initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by unspecified narcotics, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT020; INJ022; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, accidental/unintentional; Poisoning by drugs, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40602A,T40602A,10,"Poisoning by unspecified narcotics, intentional self-harm, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by unspecified narcotics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,EXT014; EXT021; INJ022; MBD012; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, self-harm; Poisoning by drugs, initial encounter; Suicidal ideation/attempt/intentional self-harm; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40604A,T40604A,10,"Poisoning by unspecified narcotics, undetermined, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by unspecified narcotics, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT023; INJ022; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, undetermined; Poisoning by drugs, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40605A,T40605A,10,"Adverse effect of unspecified narcotics, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of unspecified narcotics, initial encounter",XXX000,Unacceptable PDX,INJ028; MBD018,"Adverse effects of drugs and medicaments, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40691A,T40691A,10,"Poisoning by other narcotics, accidental (unintentional), initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by other narcotics, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT020; INJ022; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, accidental/unintentional; Poisoning by drugs, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40695A,T40695A,10,"Adverse effect of other narcotics, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of other narcotics, initial encounter",XXX000,Unacceptable PDX,INJ028; MBD018,"Adverse effects of drugs and medicaments, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
