model,metric,estimate,ci95_lower,ci95_upper,bootstrap_successful_iterations,source_file,term,HR,CI95_lower,CI95_upper,wald_p_value,interaction_lrt_chisq,interaction_lrt_df,interaction_lrt_p_value,analysis_n,event_n,penalizer,time_window,outcome,formal_interpretability,synergy_index_same_rr_direction,synergy_index_denom,synergy_index_bootstrap_denom_sign_flip_fraction
Model 2,AP,-0.144348446443785,-0.3023880994535235,0.005102292085127,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 2,synergy_index,-0.1567173665069751,-3.4174713349232824,2.245183779947684,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,not_interpretable,False,0.1223977268601347,0.046
Model 1,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes\multiplicative_interaction_readmission.csv,psych_primary_documented_by_index:delirium_binary,0.9210399462728512,0.8264637196357686,1.0264389863406926,0.1367757439314221,2.2172457696287893,1.0,0.1364763365153015,24033.0,6321.0,0.0,,readmission_90d,,,,
Model 2,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes\multiplicative_interaction_readmission.csv,psych_primary_documented_by_index:delirium_binary,0.9212892334962324,0.8266761729968249,1.026730755622414,0.1381210939616746,2.202115546766436,1.0,0.1378214755780309,24033.0,6321.0,0.0,,readmission_90d,,,,
Model 1,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes\multiplicative_interaction_icu_readmission.csv,psych_primary_documented_by_index:delirium_binary,0.848392798514086,0.7278795913560208,0.9888590765811268,0.035440627061744,4.4420654515051865,1.0,0.0350638026289193,24033.0,3228.0,0.0,,icu_readmission_365d,,,,
Model 2,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes\multiplicative_interaction_icu_readmission.csv,psych_primary_documented_by_index:delirium_binary,0.8484051490551135,0.7278849796480444,0.9888805471590736,0.0354654836547047,4.440863576201082,1.0,0.0350884945354616,24033.0,3228.0,0.0,,icu_readmission_365d,,,,
,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes\time_specific_interaction_readmission.csv,psych_primary_documented_by_index:delirium_binary,0.925292889001366,0.8077048445639408,1.0599997464404425,0.2628452929836809,,,,23877.0,4126.0,0.0,0_30_days,readmission_90d,,,,
,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes\time_specific_interaction_readmission.csv,psych_primary_documented_by_index:delirium_binary,0.8393034415432422,0.692473022930271,1.017267451092118,0.0741842575966377,,,,18681.0,2039.0,0.0,30_90_days,readmission_90d,,,,
,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes\time_specific_interaction_readmission.csv,psych_primary_documented_by_index:delirium_binary,0.8229458543507447,0.6395380491564775,1.0589516606343077,0.1298431971420198,,,,24021.0,1220.0,0.0,0_30_days,icu_readmission_365d,,,,
,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes\time_specific_interaction_readmission.csv,psych_primary_documented_by_index:delirium_binary,0.858684872968521,0.6398941900541684,1.1522838033621583,0.3099497957369796,,,,21623.0,832.0,0.0,30_90_days,icu_readmission_365d,,,,
,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes\time_specific_interaction_readmission.csv,psych_primary_documented_by_index:delirium_binary,0.8901403072724198,0.6867539661946293,1.153760743489441,0.3792385003645696,,,,20087.0,1164.0,0.0,90_365_days,icu_readmission_365d,,,,
